major,course,related
Meeting and Event Planning,[],"[u'Casino Management', u'Hospitality Administration/Management', u'Hotel, Motel, and Restaurant Management', u'Hotel/Motel Administration/Management', u'Resort Management', u'Restaurant/Food Services Management', u'Tourism and Travel Services Management']"
Resort Management,[],"[u'Casino Management', u'Hospitality Administration/Management', u'Hotel, Motel, and Restaurant Management', u'Hotel/Motel Administration/Management', u'Meeting and Event Planning', u'Restaurant/Food Services Management', u'Tourism and Travel Services Management']"
Restaurant/Food Services Management,[],"[u'Credit Management', u'Hospitality Administration/Management', u'Hotel/Motel Administration/Management', u'Tourism and Travel Services Management']"
Tourism and Travel Services Management,[],"[u'Credit Management', u'Hospitality Administration/Management', u'Hotel/Motel Administration/Management', u'Restaurant/Food Services Management']"
Human Resources Development,"[u'Adult Teaching Strategies', u'Development', u'Economics', u'Ethical Perspectives', u'International Education', u'Management', u'Professional Writing', u'Psychology', u'Public Speaking', u'Speech Communication', u'Supervisory Management', u'Training']","[u'Casino Management', u'Hotel, Motel, and Restaurant Management', u'Human Resources Management and Services', u'International Business', u'Labor and Industrial Relations', u'Labor Studies', u'Organizational Behavior Studies']"
Human Resources Management/Personnel Administration,"[u'Adult Teaching Strategies', u'Development', u'Economics', u'Ethical Perspectives', u'International Education', u'Management', u'Professional Writing', u'Psychology', u'Public Speaking', u'Speech Communication', u'Supervisory Management', u'Training']","[u'Casino Management', u'Hotel, Motel, and Restaurant Management', u'Human Resources Development', u'Human Resources Management and Services', u'International Business', u'Labor and Industrial Relations', u'Labor Studies', u'Organizational Behavior Studies']"
Labor and Industrial Relations,"[u'Collective Bargaining and Contract Administration', u'Contemporary Workplace Issues', u'Employment Practices Law', u'Human Resource Management', u'Labor History', u'Labor Law', u'Labor Management Relations', u'Leadership in Work Settings', u'Race and Gender in Employment']","[u'Casino Management', u'Hotel, Motel, and Restaurant Management', u'Human Resources Development', u'Human Resources Management and Services', u'International Business', u'Labor Studies', u'Organizational Behavior Studies']"
Labor Studies,"[u'Bargaining Strategies', u'Division of Labor', u'Legislative Structure', u'Organizing Strategy', u'Union Administration', u""Worker's Rights""]","[u'Casino Management', u'Hotel, Motel, and Restaurant Management', u'Human Resources Development', u'Human Resources Management and Services', u'International Business', u'Labor and Industrial Relations', u'Organizational Behavior Studies']"
Organizational Behavior Studies,[],"[u'Casino Management', u'Hotel, Motel, and Restaurant Management', u'Human Resources Development', u'Human Resources Management and Services', u'International Business', u'Labor and Industrial Relations', u'Labor Studies']"
Insurance,[],"[u'Health/Medical Claims Examiner', u'Medical Insurance Specialist/Medical Biller', u'Medical Reception/Receptionist']"
International Business/Trade/Commerce,"[u'Accounting', u'Business Strategy', u'Economics', u'Finance', u'Information Technology', u'Marketing', u'Supply Chain Management']",[u'Management Information Systems and Services']
Information Resources Management,"[u'Accounting', u'Business Writing', u'Collective Bargaining', u'Economics', u'Finance', u'Management', u'Staffing', u'Statistics', u'Training and Development']","[u'Knowledge Management', u'Management Sciences and Quantitative Methods']"
Knowledge Management,"[u'Computer Engineering', u'Computer Information Systems', u'Oral Communication', u'Personnel Management', u'Project Management']","[u'Information Resources Management', u'Management Sciences and Quantitative Methods']"
Management Information Systems,"[u'Calculus', u'Computer Programming', u'Computer Systems', u'Data Base Fundamentals', u'Decision Support Systems', u'Desktop Publishing', u'Information Technology', u'Networking', u'Program Design', u'Software Engineering', u'Statistics\r\n\t\r\n\r\n']","[u'International Business/Trade/Commerce', u'Management Information Systems and Services', u'International Business/Trade/Commerce', u'Management Information Systems and Services']"
Actuarial Science,"[u'Accounting', u'Economics', u'Finance', u'Math', u'Statistics']","[u'Business Statistics', u'International Marketing', u'Management Science', u'Marketing', u'Marketing Research', u'Real Estate']"
Business Statistics,"[u'Economics', u'Finance', u'Mathematics', u'Statistics']","[u'Actuarial Science', u'International Marketing', u'Management Science', u'Marketing', u'Marketing Research', u'Real Estate']"
Management Science,"[u'Data Analysis', u'Finance', u'Marketing', u'Mathematical Programming', u'Research Design', u'Research Methods', u'Statistics']","[u'Actuarial Science', u'Business Statistics', u'International Marketing', u'Marketing', u'Marketing Research', u'Real Estate']"
International Marketing,"[u'Advertising', u'Design', u'Economics', u'Management', u'Marketing', u'Public Relations']","[u'Actuarial Science', u'Business Statistics', u'Management Science', u'Marketing', u'Marketing Research', u'Real Estate']"
Marketing Research,"[u'Data Analysis', u'Marketing', u'Measurement Approaches', u'Research Design', u'Research Methods', u'Sampling', u'Statistics']","[u'Actuarial Science', u'Business Statistics', u'International Marketing', u'Management Science', u'Marketing', u'Real Estate']"
Marketing/Marketing Management,"[u'Advertising', u'Consumer Behavior', u'International Marketing', u'Personal Selling', u'Promotional Strategy', u'Public Relations']","[u'Actuarial Science', u'Business Statistics', u'International Marketing', u'Management Science', u'Marketing', u'Marketing Research', u'Real Estate']"
Real Estate,"[u'\r\nReal Estate Finance and Mortgage Banking', u'General Business Courses', u'Housing and Community Development Policy', u'Non-Profit Housing Development', u'Public Regulation of Land Use', u'Real Estate Construction Planning and Execution', u'Real Estate Entrepreneurship', u'Real Estate Law', u'Real Estate Management', u'Real Estate Market Analysis', u'Real Estate Valuation and Appraisal', u'Urban Fiscal Policy']","[u'Apparel and Accessories Marketing Operations', u'Auctioneering', u'Business and Personal/Financial Services Marketing Operations', u'Fashion Merchandising', u'Fashion Modeling', u'General Sales, Merchandising and Related Marketing Operations', u'Hospitality and Recreation Marketing Operations', u'Insurance', u'Merchandising and Buying Operations', u'Retailing and Retail Operations', u'Selling Skills and Sales Operations', u'Special Products Marketing Operations', u'Specialized Sales, Merchandising and  Marketing Operations', u'Taxation', u'Tourism and Travel Services Marketing Operations', u'Tourism Promotion Operations', u'Vehicle and Vehicle Parts and Accessories Marketing Operations']"
Apparel and Accessories Marketing Operations,"[u'Design', u'Marketing', u'Textiles']","[u'Auctioneering', u'Business and Personal/Financial Services Marketing Operations', u'Fashion Merchandising', u'Fashion Modeling', u'General Sales, Merchandising and Related Marketing Operations', u'Hospitality and Recreation Marketing Operations', u'Insurance', u'Merchandising and Buying Operations', u'Real Estate', u'Retailing and Retail Operations', u'Selling Skills and Sales Operations', u'Special Products Marketing Operations', u'Specialized Sales, Merchandising and  Marketing Operations', u'Taxation', u'Tourism and Travel Services Marketing Operations', u'Tourism Promotion Operations', u'Vehicle and Vehicle Parts and Accessories Marketing Operations']"
Auctioneering,"[u'Economics', u'Finance', u'Management', u'Marketing']","[u'Apparel and Accessories Marketing Operations', u'Business and Personal/Financial Services Marketing Operations', u'Fashion Merchandising', u'Fashion Modeling', u'General Sales, Merchandising and Related Marketing Operations', u'Hospitality and Recreation Marketing Operations', u'Insurance', u'Merchandising and Buying Operations', u'Real Estate', u'Retailing and Retail Operations', u'Selling Skills and Sales Operations', u'Special Products Marketing Operations', u'Specialized Sales, Merchandising and  Marketing Operations', u'Taxation', u'Tourism and Travel Services Marketing Operations', u'Tourism Promotion Operations', u'Vehicle and Vehicle Parts and Accessories Marketing Operations']"
Business and Personal/Financial Services Marketing Operations,"[u'Advertising', u'Business', u'Economics', u'Finance', u'Management', u'Market Research']","[u'Apparel and Accessories Marketing Operations', u'Auctioneering', u'Fashion Merchandising', u'Fashion Modeling', u'General Sales, Merchandising and Related Marketing Operations', u'Hospitality and Recreation Marketing Operations', u'Insurance', u'Merchandising and Buying Operations', u'Real Estate', u'Retailing and Retail Operations', u'Selling Skills and Sales Operations', u'Special Products Marketing Operations', u'Specialized Sales, Merchandising and  Marketing Operations', u'Taxation', u'Tourism and Travel Services Marketing Operations', u'Tourism Promotion Operations', u'Vehicle and Vehicle Parts and Accessories Marketing Operations']"
Fashion Merchandising,"[u'Accounting', u'Composition', u'Design', u'Economics', u'Marketing', u'Mathematics', u'Psychology', u'Public Speaking', u'Textiles']","[u'Apparel and Accessories Marketing Operations', u'Auctioneering', u'Business and Personal/Financial Services Marketing Operations', u'Fashion Modeling', u'General Sales, Merchandising and Related Marketing Operations', u'Hospitality and Recreation Marketing Operations', u'Insurance', u'Merchandising and Buying Operations', u'Real Estate', u'Retailing and Retail Operations', u'Selling Skills and Sales Operations', u'Special Products Marketing Operations', u'Specialized Sales, Merchandising and  Marketing Operations', u'Taxation', u'Tourism and Travel Services Marketing Operations', u'Tourism Promotion Operations', u'Vehicle and Vehicle Parts and Accessories Marketing Operations']"
